"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
27;"1/10/2022";3000;0;0;30
70;"1/10/2022";5000;0;0;50
390;"1/10/2022";7000;0;0;70
351;"1/10/2022";90;0;0;1
280;"1/10/2022";200;0;0;2
274;"1/10/2022";1000;0;0;10
149;"1/10/2022";6000;0;0;60
772;"1/10/2022";250;0;0;3
889;"1/10/2022";2000;0;0;20
431;"1/10/2022";500;0;0;5
604;"1/10/2022";3000;0;0;30
113;"1/10/2022";5000;0;0;50
352;"1/10/2022";20000;0;0;200
732;"1/10/2022";6000;0;0;60
849;"1/10/2022";2850;0;0;29
959;"1/10/2022";12000;0;0;120
828;"1/10/2022";5000;0;0;50
658;"1/10/2022";5200;0;0;52
536;"1/10/2022";100;0;0;1
601;"1/10/2022";48000;0;0;480
972;"1/10/2022";401;0;0;4
996;"1/10/2022";12000;0;0;120
931;"1/10/2022";5500;0;0;55
14;"1/10/2022";500;0;0;5
605;"1/10/2022";1000;0;0;10
371;"1/10/2022";1000;0;0;10
145;"1/10/2022";3500;0;0;35
259;"1/10/2022";3500;0;0;35
420;"1/10/2022";300;0;0;3
417;"1/10/2022";23000;0;0;230
500;"1/10/2022";200;0;0;2
409;"1/10/2022";4000;0;0;40
888;"1/10/2022";2009;0;0;20
96;"1/10/2022";2000;0;0;20
945;"1/10/2022";5000;0;0;50
519;"1/10/2022";3012;0;0;30
302;"1/10/2022";1000;0;0;10
873;"1/10/2022";500;0;0;5
390;"1/10/2022";500;0;0;5
695;"2/10/2022";500;0;0;5
214;"2/10/2022";2750;0;0;28
945;"2/10/2022";5000;0;0;50
779;"2/10/2022";5100;0;0;51
390;"2/10/2022";2000;0;0;20
796;"2/10/2022";200;0;0;2
85;"2/10/2022";1000;0;0;10
763;"2/10/2022";200;0;0;2
743;"2/10/2022";2000;0;0;20
131;"2/10/2022";10000;0;0;100
9;"2/10/2022";2000;0;0;20
505;"2/10/2022";4000;0;0;40
508;"2/10/2022";10000;0;0;100
587;"2/10/2022";10000;0;0;100
740;"2/10/2022";19000;0;0;190
85;"2/10/2022";2500;0;0;25
85;"2/10/2022";2000;0;0;20
740;"2/10/2022";3500;0;0;35
568;"2/10/2022";50;0;0;1
309;"2/10/2022";4000;0;0;40
275;"2/10/2022";500;0;0;5
380;"2/10/2022";140;0;0;1
66;"2/10/2022";1500;0;0;15
198;"2/10/2022";1000;0;0;10
480;"2/10/2022";2000;0;0;20
99;"2/10/2022";8000;0;0;80
170;"2/10/2022";2500;0;0;25
11;"2/10/2022";2000;0;0;20
853;"2/10/2022";5555;0;0;56
644;"2/10/2022";1500;0;0;15
408;"2/10/2022";5003;0;0;50
89;"2/10/2022";10000;0;0;100
338;"2/10/2022";2000;0;0;20
24;"2/10/2022";1000;0;0;10
913;"2/10/2022";5000;0;0;50
354;"2/10/2022";4721;0;0;47
235;"2/10/2022";2000;0;0;20
450;"2/10/2022";2000;0;0;20
714;"2/10/2022";9000;0;0;90
421;"2/10/2022";10000;0;0;100
52;"2/10/2022";10000;0;0;100
686;"2/10/2022";500;0;0;5
920;"2/10/2022";5000;0;0;50
95;"2/10/2022";2000;0;0;20
306;"2/10/2022";150;0;0;2
982;"2/10/2022";1500;0;0;15
637;"2/10/2022";850;0;0;9
605;"2/10/2022";5000;0;0;50
259;"2/10/2022";12000;0;0;120
607;"2/10/2022";2000;0;0;20
305;"2/10/2022";175;0;0;2
776;"2/10/2022";1500;0;0;15
219;"2/10/2022";2000;0;0;20
848;"2/10/2022";2000;0;0;20
820;"2/10/2022";2000;0;0;20
366;"2/10/2022";2450;0;0;25
972;"2/10/2022";50;0;0;1
854;"2/10/2022";10000;0;0;100
106;"2/10/2022";200;0;0;2
723;"2/10/2022";2000;0;0;20
149;"2/10/2022";1388;0;0;14
306;"2/10/2022";2200;0;0;22
850;"2/10/2022";5000;0;0;50
16;"2/10/2022";3000;0;0;30
847;"2/10/2022";100;0;0;1
199;"2/10/2022";2000;0;0;20
600;"2/10/2022";2000;0;0;20
407;"2/10/2022";1200;0;0;12
173;"2/10/2022";25000;0;0;250
941;"2/10/2022";15000;0;0;150
525;"2/10/2022";1000;0;0;10
306;"2/10/2022";10000;0;0;100
901;"2/10/2022";16000;0;0;160
950;"2/10/2022";4000;0;0;40
274;"2/10/2022";400;0;0;4
985;"2/10/2022";5000;0;0;50
106;"2/10/2022";448;0;0;4
14;"2/10/2022";100;0;0;1
246;"2/10/2022";350;0;0;4
78;"2/10/2022";2500;0;0;25
588;"2/10/2022";2000;0;0;20
841;"2/10/2022";1000;0;0;10
825;"2/10/2022";3000;0;0;30
497;"2/10/2022";3000;0;0;30
570;"2/10/2022";450;0;0;5
10;"2/10/2022";2000;0;0;20
539;"2/10/2022";2200;0;0;22
341;"2/10/2022";5000;0;0;50
604;"2/10/2022";1000;0;0;10
565;"2/10/2022";5000;0;0;50
352;"2/10/2022";5000;0;0;50
168;"2/10/2022";1000;0;0;10
208;"2/10/2022";10000;0;0;100
432;"2/10/2022";1000;0;0;10
692;"2/10/2022";500;0;0;5
678;"2/10/2022";12000;0;0;120
680;"2/10/2022";200;0;0;2
837;"2/10/2022";500;0;0;5
644;"2/10/2022";200;0;0;2
190;"2/10/2022";3000;0;0;30
695;"2/10/2022";125;0;0;1
613;"2/10/2022";3000;0;0;30
351;"2/10/2022";100;0;0;1
275;"2/10/2022";2000;0;0;20
605;"2/10/2022";2000;0;0;20
390;"2/10/2022";200;0;0;2
93;"2/10/2022";1000;0;0;10
198;"2/10/2022";2000;0;0;20
950;"2/10/2022";5000;0;0;50
790;"2/10/2022";3000;0;0;30
573;"2/10/2022";2000;0;0;20
565;"2/10/2022";1000;0;0;10
554;"2/10/2022";1875;0;0;19
929;"2/10/2022";5000;0;0;50
16;"2/10/2022";5000;0;0;50
871;"2/10/2022";900;0;0;9
776;"2/10/2022";291;0;0;3
451;"2/10/2022";5000;0;0;50
675;"2/10/2022";20000;0;0;200
677;"2/10/2022";4000;0;0;40
779;"2/10/2022";2000;0;0;20
837;"2/10/2022";300;0;0;3
675;"2/10/2022";1000;0;0;10
949;"2/10/2022";5500;0;0;55
959;"2/10/2022";12000;0;0;120
667;"2/10/2022";348;0;0;3
400;"2/10/2022";4000;0;0;40
972;"2/10/2022";105;0;0;1
296;"2/10/2022";1000;0;0;10
536;"2/10/2022";100;0;0;1
618;"2/10/2022";2000;0;0;20
927;"2/10/2022";5000;0;0;50
804;"2/10/2022";1050;0;0;11
173;"2/10/2022";100;0;0;1
